SubOrgID	Naam	OrgID	ChangeDate	Centrum	Gebruiker
893	Project Bijzondere Jeugdzorg	1596	2010-06-07 16:31:19	GEE	GEETCO
894	Groepje laatste jaar studenten 21-05-2010	1601	2010-06-07 16:33:41	GEE	GEETCO
895	ACV-jongeren	1602	2010-06-14 16:54:59	LEU	LEUJBO
896	Drughulp Eerste lijn	1603	2010-06-16 15:30:34	GEE	GEETCO
897	Internal Safety 	1607	2010-06-18 18:51:30	VAD	VADMCL
898	werkgroep consult	351	2010-06-24 13:09:21	AHA	AHAIVR
899	Dagelijks Bestuur	420	2010-06-24 13:13:22	AHA	AHAIVR
900	CAFT	1630	2010-07-01 14:47:09	MEA	MEAEVE
901	CANO centrum Neerhof	1630	2010-07-01 14:52:55	MEA	MEAEVE
902	De Regenboog	1627	2010-07-01 14:48:12	MEA	MEAEVE
903	De Nieuwe Vaart	1627	2010-07-01 14:50:03	MEA	MEAEVE
904	Dagcentra De Schans en De Schommel	1627	2010-07-01 14:51:43	MEA	MEAEVE
905	PAT	1630	2010-07-01 14:53:26	MEA	MEAEVE
906	Begeleid Zelfstandig Wonen	1630	2010-07-01 14:53:54	MEA	MEAEVE
907	Thuisbegeleiding	1630	2010-07-01 14:54:03	MEA	MEAEVE
908	Human Resources	1645	2010-07-05 11:31:09	VAD	VADMCL
909	WG ifv vroeginterventieproject met GGZ W&D	1647	2010-07-05 13:45:16	CAT	CATANS
910	Team Intergemeentelijke Preventiewerkers 	388	2010-07-05 14:03:48	CAT	CATANS
911	PRIMA	388	2010-07-05 14:09:44	CAT	CATANS
912	Drugpunt Waas	394	2010-10-28 15:00:35	CAT	CATANS
913	Beheerscomité Lokeren-Berlare-Zele	393	2010-07-05 14:32:39	CAT	CATANS
914	Human Resources	1651	2010-07-06 10:39:32	VAD	VADMCL
915	Occupational Health 	1652	2010-07-06 11:19:11	VAD	VADMCL
916	Mastenhof OBC	1658	2010-07-07 14:34:43	ALT	ALTCCA
917	Brandweer	482	2010-07-07 14:49:30	ALT	ALTCCA
918	Straathoekwerkers	1669	2010-07-08 11:18:25	ALT	ALTCCA
919	Respect 16 campagne	510	2010-07-08 14:06:29	ALT	ALTCCA
920	Studiedag 	371	2010-07-12 09:22:14	VAD	VADMDB
921	overleg preventie-vroeginterventie	34	2010-07-12 10:38:19	ALT	ALTCDM
922	Druglink	34	2010-07-12 11:07:04	ALT	ALTCDM
923	PERSONEELSDIENST	1679	2010-07-13 13:27:10	CAD	CADMVS
924	LAGERE SCHOOL MONTENAKEN	104	2010-07-13 15:03:55	CAD	CADMVS
925	Provinciaal overleg	371	2010-07-14 15:33:32	VAD	VADEVA
926	WERKGEVERS-WERKNEMERS OVERLEG	91	2010-07-16 10:11:10	CAD	CADMVS
927	DE WINNING	240	2010-07-16 10:23:04	CAD	CADMVS
928	PREVENTIEWERK	1692	2010-07-16 10:25:09	CAD	CADMVS
930	Interne Dienst Preventie en Bescherming	1419	2010-07-16 14:20:50	VAD	VADMCL
931	Dagelijks Bestuur	330	2010-07-16 16:54:58	CAT	CATMAR
932	Drugoverleg Blankenberge-Zuienkerke	680	2010-11-10 16:35:23	LAR	LAREVB
933	BOVENBOUW	331	2010-07-20 09:59:02	CAD	CADKJA
934	SECUNDAIR ONDERWIJS	251	2010-07-20 15:11:16	CAD	CADKJA
935	JEUGDDIENST	247	2010-07-26 12:59:33	CAD	CADKJA
936	INTERNAAT LYCEUM GENK	610	2010-07-26 15:45:02	CAD	CADEGI
937	SCHOOL	610	2010-07-26 15:48:49	CAD	CADEGI
938	WERKGROEP DRUGBELEID	1710	2010-07-27 11:33:32	CAD	CADEGI
939	Politieschool	1715	2010-08-04 15:35:20	AHA	AHAADI
940	overleg Tabak, Alcohol en Drugs (TAD)	510	2010-08-05 09:46:48	ALT	ALTCDM
941	project webbased leertraject VIGeZ	602	2010-08-06 11:42:33	VAD	VADJCL
942	denktank motivatie	371	2010-08-06 12:35:03	VAD	VADJCL
943	bachelor maatschappelijke veiligheid	1723	2010-08-06 13:26:42	VAD	VADJCL
944	Forensisch team	473	2010-08-10 10:51:10	ALT	ALTCDM
945	drugprojecten bjz	371	2010-08-10 15:09:08	VAD	VADIBA
946	Vormingsdienst VVSG	800	2010-08-10 15:27:39	VAD	VADIBA
947	EHBO medewerkers	1728	2010-08-10 15:30:49	AAL	AALJCA
948	PRENNE GENT OVL	1068	2010-08-10 16:07:56	CAT	CATRUG
949	COME	1052	2010-08-10 16:13:12	CAT	CATRUG
